movie_name,year,genre,plot
Four's a Crowd,1938,Drama,"Robert will do anything to get the big account that has eluded him. His public relations business makes public angels of rich scoundrels. Jean needs someone to save the paper and she wants Robert. When he finds out that Pat is dating Lorri, John Dillingwell's granddaughter, he gets involved. Robert begins to make John the most hated man and Lorri blames Pat, the publisher. He then goes to John for a job to erase all the bad publicity that he has gotten from the paper. This works until Pat tells John that Robert was behind the smear campaign. But John decides that he does need some good publicity and hires Robert to provide it..."
The Incredibles,2004,Drama,"Bob Parr (A.K.A. Mr. Incredible), and his wife Helen (A.K.A. Elastigirl), are the world's greatest famous crime-fighting superheroes in Metroville. Always saving lives and battling evil on a daily basis. But fifteen years later, they have been forced to adopt civilian identities and retreat to the suburbs where they have no choice but to retire as superheroes to live a ""normal life"" with their three children Violet, Dash and Jack-Jack (who were secretly born with superpowers). Itching to get back into action, Bob gets his chance when a mysterious communication summons him to a remote island for a top secret assignment. He soon discovers that it will take a super family effort to rescue the world from total destruction."
Back to the Woods,1937,Drama,"Set in colonial times, the Stooges, convicted as criminals, are banished from England to the American colonies. When they arrive, they find the colonists starving because the local residential Native Americans will not allow them on their hunting grounds. The Stooges go hunting anyway and, mistaking native feather headdresses for wild turkeys, fight for their lives. During their wild escapades, Larry is captured, whereby Moe and Curly mount an immediate rescue."
Old Mother Riley in Paris,1938,Drama,"Mrs. Riley and her daughter Kitty go to Paris, and get involved with spies."
Carry on Teacher,1959,Drama,"Pupils run amok at Maudlin Street School in an attempt to hang on to their headmaster. He has applied for a new job, but the students like him and don't want to lose him. They concoct a plan - blacken his record in front of the Ministry Inspector and then he won't ever be able to get another job!"
Tammy and the T-Rex,1994,Drama,"An evil scientist implants the brain of Michael, a murdered high school student, in an animatronic Tyrannosaurus. He escapes, wreaks vengeance on his high school tormentors and is reunited with his sweetheart Tammy. Together, the couple try to elude the mad scientist and the police and find a more appropriate vessel for Michael's brain."
Blackadder Back & Forth,1999,Drama,"New Year's Eve, 1999, Blackadder Hall. While entertaining his dinner party guests - Archbishop Melchett, Archdeacon Darling, Major George Bufton-Tufton and Lady Elizabeth - cunning-as-a-fox Lord Edmund Blackadder suggests a wager. To prove that he can travel through time with his fully operational time machine, built to the exact specifications of the great Leonardo Da Vinci, Blackadder bets £10,000 that he can retrieve any item of historical interest they request. Of course, the marvellous device is nothing more than a pile of planks ingeniously put together by Baldrick, and imagine their surprise when the mismatched duo discovers that the time-travel machine truly works. But tampering with history is never without grave consequences. Will the world be the same after Blackadder's trip across centuries?"
The Middle Watch,1940,Drama,"Debonair screen veteran Jack Buchanan, Norwegian beauty Greta Gynt and monocled character player Fred Emney are among the many stars of this riotous comedy adapting a play by writer and Naval officer Stephen King-Hall, and noted novelist, playwright and historian Ian Hay. The Middle Watch is featured here in a brand-new transfer from the original film elements, in its as-exhibited theatrical aspect ratio. Through a series of unforeseen events, two glamorous young ladies find that they are obliged to spend the night on board the battleship HMS Falcon, where they have been attending a 'bon voyage' reception. At first it seems that Captain Randall will be able to keep them concealed, but then the Admiral unexpectedly arrives on board and orders the ship to sea. The result is maritime mayhem."
Skin Game,1971,Drama,"Quincy Drew and his black friend Jason O'Rourke have pulled off every dodge known for conning a well-heeled sucker, but it wasn't until they hit on the old skin game that they started to clean up. The game is simple. Jason, though born a free man in New Jersey, poses as Quincy's slave as the pair ride through Missouri and Kansas in 1857. Quincy picks a likely mark in each town, sells Jason to him for top money and rides out of town. Then Quincy and Jason get back together on the road to another town, because if Jason can't just run off after dark, Quincy finds a way to spring him loose."
Buzzin' Around,1933,Drama,"Fatty invents a liquid with a property that makes objects resilient and unbreakable. Unfortunately, in his rush to get out of the house to demonstrate his invention, he unknowingly grabs a jar of hard cider instead of the jar which holds his wonder liquid. To make matters worse, as he drives to the demonstration, a football-sized beehive falls from a tree onto the cargo bed of his truck."
Carry on Teacher,1959,Drama,"Pupils run amok at Maudlin Street School in an attempt to hang on to their headmaster. He has applied for a new job, but the students like him and don't want to lose him. They concoct a plan - blacken his record in front of the Ministry Inspector and then he won't ever be able to get another job!"
