movie_name,year,genre,plot
The Laurel-Hardy Murder Case,1930,"Short, Comedy, Crime","It looks as if the boys might no longer need to fish off the end of the pier to feed themselves when Ollie spots a newspaper ad seeking heirs to the $3,000,000 estate of the late Ebenezer Laurel. Despite Stan being unaware of ANY relationship between him and the dead man, Olie decides to pass him off as one of the heirs but when the duo arrive for the reading of the will, they learn that Ebenezer was murdered and that Stan, along with all the other relatives, is a prime suspect."
Kung Phooey!,2003,Comedy,"The chosen one from China's mystical Shur-Li Temple embarks on a hilarious quest in this high-kicking spoof of kung-fu films from director Darryl Fong. The champion fighter, Art Chew (Michael Chow Man-Kin), is sent to America by his master on a mission to find a mystical peach that holds the power of eternal life. Assisted by a distant cousin, his best friend, Roy Lee (Colman Domingo), and the comely Sue Shee (Karena Davis), Art travels to the U.S. and must outwit the evil Helen Hu (Joyce Brew) and her henchment in order to complete his mission and earn the eternal respect of his wise, bald Masters. Kung Phooey is Bruce Lee meets Naked Gun in an outrageous spoof with martial arts action and knock-out laughter for the whole family!"
Things Are Tough All Over,1982,"Action, Comedy","Cheech and Chong work briefly as car-wash attendants and musicians before being hired to drive a car from Chicago to Las Vegas. Unbeknownst to them, their employers (themselves in double roles) have concealed $5 million of dirty money in the upholstery. A series of adventures ensues, including the making of a porn film featuring 'The Guys' and their real-life squeezes."
The Twelve Chairs,1970,"Comedy, Drama","A treasure hunt. An aging ex-nobleman of the Czarist regime has finally adjusted to life under the commisars in Russia. Both he and the local priest find that the family jewels were hidden in a chair, one of a set of twelve. They return separately to Moscow to find the hidden fortune."
Crocodile Dundee II,1988,"Action, Adventure, Comedy","One short year after the life-changing adventure in Crocodile Dundee (1986), the rugged hunter from Down Under, Michael J. ""Crocodile"" Dundee, has managed to become a legend even in New York City. Living happily with Newsday's tenacious journalist, Sue Charlton, Mick will soon find himself neck-deep in trouble, when the love of his life becomes the target of the murderous Colombian drug cartel leader, Luis Rico. Now, from Manhattan's urban jungle to Walkabout Creek's dangerous wilderness, Mick will have to put to good use his unparalleled survival skills, to protect Sue from Rico's evil henchmen. But, do they know that they are no match for the Australian Crocodile Dundee?"
Vacation in Reno,1946,"Action, Comedy, Romance","Jack Carroll and his wife have a phony argument to teach their friends a lesson, but when he makes a crack that her mother is a ""fat porpoise,"" they fight for real and she leaves him. To make matters worse, Jack runs into two men just before they don masks and rob a bank. Now he is the only one who can identify them. In spite of all this, he takes a vacation in Reno; he is convinced he can use a metal detector to find buried treasure and realize his dream of starting a rabbit farm. Coincidentally, the bank robbers make their getaway to Reno and check into the same dude ranch as Jack. In fact, they bury a suitcase full of the loot and who should find it but hapless Jack himself. This is just the beginning of Jack's troubles, as he finds himself at odds with a deputy sheriff, a roughneck sailor and a gun moll who tries (for complicated reasons) to convince the police she is Mrs. Carroll. Worst of all, Jack's wife arrives and wants a divorce. Before this mess is cleared up, Jack will risk life and limb on a runaway stagecoach."
Chennai 600028,2007,"Comedy, Romance, Sport","The film is based on street cricket played in India, focussing on various themes as friendship, love and rivalry in a suburban area. The film's title is derived from the pincode for Mandaveli, a suburb of Chennai, where the story takes place."
Hero No. 1,1997,"Comedy, Drama, Musical","Two young Indians, Meena and Rajesh, meet in Europe and fall in love with each other, promising to get married when they return back to India. When they return home, Rajesh tells his dad about Meena, and they go to meet with Meena's dad. During this meeting, both fathers get into an argument, and refuse to permit the young couple to get married. No amount of persuasion gets them to change their minds. Then Rajesh, with Meena's help, decides to work as a servant in Meena's household - with a view of winning over her father, and thus finding a solution to their wedding problems. Will Rajesh succeed in fooling Meena's shrewd father?"
Adrift in Tokyo,2007,Comedy,"Takemura has no friends and no family. He's a student but he doesn't have any particular ambitions. In other words, he isn't going anywhere fast. Were all this not enough, the sorry sad sack has a debt of 800,000 yen. Fukuhara, a surly debt collector with a glorious mullet, is on his case. After roughing Takemura up, he gives him an ultimatum-72 hours to pay up, or else. Takemura barely has his wits about him again when he runs across Fukuhara a second time, and this time the thug has a different proposal-a walk. That's right, in exchange for a million yen, Takemura must accompany Fukuhara on a walk across the city of Tokyo. Starting in a distant corner of the city, they begin their trek towards downtown, striking up a conversation. It's at this point that Fukuhara admits that he's recently killed his wife, and intends to turn himself in at Kasumagaseki police station-because, he says, it's the finest in town. The pair's itinerary, however, is hardly a quick and direct one. The disparate duo drift here and there, hanging out and coming across a host of eccentric personalities, creatures of the urban jungle's various habitats. As their walking, talking and trading truths continues, the arrangement between Takemura and Fukuhara starts to transform into friendship."
Are You Being Served?,1977,"Action, Adventure, Comedy","When Grace Brothers closes for redecoration, Young Mr. Grace send the staff on holiday to Costa Plonka, where they find themselves in the middle of a revolution."
