movie_name,year,genre,plot
Zhizn i priklyucheniya chetyrekh druzei 1/2,1980,Comedy,"Three dogs and one cat are naturally suspicious of each other. At first the dogs and cat are playing various tricks with each other, and their thoughts are translated to the viewers by actor Lev Lemke. Eventually the four pets become good friends and have adventures together. They follow their owner, a forest ranger , on various trips. With the help of a girl  three dogs and cat also help other people and have lots of fun together."
Tatie Danielle,1990,Comedy,"Danielle Billard, aged 82, is a childless widow of an army colonel. She lives in a small-town home in Auxerre with her faithful housekeeper, Odile. Quiet life? Things are not as they appear. Danielle is mean, cruel and malicious. When Odile ""accidentally"" dies, Danielle divides her estate between her grand-niece and grand-nephew, Jeanne and Jean-Pierre. She then goes to live in Paris with Jean-Pierre and his family. Although the family believes her to be an agreeable elderly lady, they soon discover her true colours! The family goes on an extended vacation leaving their aunt in the care of a young woman, Sandrine. Little does Danielle know, she has finally met her match! Through many turbulant episodes these two women develop an ostensibly mutual love-hate ""respect""."
Tainá 2: A New Amazon Adventure,2004,Comedy,"The evil woman Zuzu gets these two men to goto the jungle and take the animals and this little amazon jungle girl Tainá have to save the animals. And the men shot the mother of the cute little jungle cat, and the jungle cat was only a little baby and it got very sad. Carlito, a young boy helps Taina saving animals from evil woman. Carlito has lost his puppy and hes looking for it, but Catiti found it."
Delta Farce,2007,Comedy,"When three small town National Guardsmen bound for Iraq are unknowingly dropped into Mexico, their confusion leads them to ""liberate"" a small village from a band of corrupt Federales"
Le Père Noël est une ordure,1982,Comedy,"Pierre and Thérèse, two stuffy well-to-do volunteers at a telephone helpline for lonely and depressed people, are stuck with the Christmas Eve shift in the Paris office, much to their displeasure. The building's lift is malfunctioning, and they receive visits from unwanted callers: Katia, a depressed transvestite who wants to hit on Pierre, and Josette, a heavily pregnant woman on the run from her fiancé Félix. Félix is working as a Santa Claus during the season and turns up on her trail in costume and brandishing a gun. Félix and Josette, a caricature trailer trash couple, end up struggling over the gun and accidentally shooting dead the lift repairman, whom they then butcher and feed to zoo animals."
No More Ladies,1935,Comedy,A society girl tries to reform her playboy husband by making him jealous.
Convention City,1933,Comedy,"What I want to know is -- how is it that (as of 2021) there are 86 ratings of this film, which supposedly hasn't been shown since the 1960s, or even the 1940s??I'm as interested as anyone, even though I suspect it may not have been all that good. But really: I haven't seen any first-hand accounts of the actual film -- anywhere -- and we should only be rating films we've actually seen, OK?"
Kadhala Kadhala,1998,Comedy,"Ramalingam  & Sundaralingam  are simpletons who are always in search of ways to earn a quick buck. Sundaralingam is an artist with good talent while Ramalingam is the business brain who brings in money, mostly by fraudulent means. They fall in love - Sundaralingam with Janaki ([[Rambha  and Ramalingam with Sundari . Both are students of art. Janaki's father, played by the music director M. S. Viswanathan, rejects Sundaralingam. Sundari convinces Janaki to write letters falsifying Sundaralingam's rise to fame and big money, eventually lying that Janaki & Sundaralingam now have a son, in order to win over the parents with sentiment. Janaki's dad, worried that his grandson might be brought up poorly, arrives at a mansion that has been set up to look like Sundaralingam's new property, along with her mom . Meanwhile, Sundari's dad  also makes an unexpected stop there to check on his daughter. A small misunderstanding during introductions and progressively bigger lies to cover the initial lies lead to a side-splitting laugh riot. How those four eventually overcome their problems and find happiness forms the rest of the story."
Hot Enough for June,1964,Comedy,"Roger Allsop  turns over some belongings to a clerk, who stows them in a drawer marked 007 before turning the identifying card over to read ""deceased"". Allsop and his superior, Colonel Cunliffe , then discuss the necessity to send someone to pick up something behind the Iron Curtain. Unemployed British writer Nicholas Whistler  is sent by the employment exchange to be interviewed by Cunliffe, supposedly for a job as a trainee executive for a glass company. Cunliffe discovers Whistler speaks Czech, and offers him an exorbitant salary, plus expenses. Whistler is given puzzling instructions to meet someone who will respond to his remark, ""Hot enough for June"", by stating he should have been there in September, before being sent that very day to Prague on a ""business"" trip. On his arrival, he is assigned a beautiful driver and guide, Vlasta . She drives him to inspect a glass factory, where he finally discovers the washroom attendant is his man. However, he has to come back another day to make contact without arousing suspicion. That night, he takes Vlasta to dinner. Unbeknownst to him, she is an agent of the secret police. The communists know  that he is actually working for British intelligence, and keep him under surveillance. He and Vlasta spend the next day together as well. They are attracted to each other, and she invites him to stay the night at her surprisingly luxurious home. When Whistler revisits the factory, the attendant gives him a piece of paper and informs him that he is a spy. Vlasta arranges to meet him secretly that night; she warns him to return to England immediately. However, when he returns to the hotel, Simenova , the head of the secret police, is waiting. He presents Whistler with a stark choice: sign a confession or suffer a fatal accidental fall. Whistler manages to escape. Evading a manhunt, he turns to the only person who might be willing to help him: Vlasta. When he reaches her house in the morning, however, he is shocked to find her seeing her father, Simenova, off to work. After Simenova leaves, Whistler confronts Vlasta. She offers to help him reach the British embassy, despite a cordon of communist agents. To demonstrate his good faith, he burns the slip of paper so that neither side can have it. Her plan almost succeeds, but by sheer bad luck, Simenova is leaving the embassy as Whistler approaches and recognizes him, forcing him to flee once more. Finally, he reaches the embassy by knocking out a milkman and taking his place. Cunliffe informs him that he is being exchanged for a spy the British have caught. At the airport, he is pleasantly surprised to find that Vlasta has been assigned to the trade mission in London and is departing on the same airliner."
American Cuisine,1998,Comedy,"an aspiring master-chef on a US military vessel is dishonorably discharged/quits his post and and instead feeeloling sorry for himself, uses the oppotunity to go to Paris, France and apply as a trainee at his hero's restaurant (this hero is an internationally known book-writing master chef and it is his book/s which inspired him to become a chef) the movie is about a young man's professional struggle to become better at his trade/profession."
